,0
advisor,1
advisors,1
advisory,2
advocate,1
advocates,1
advocating,1
ae,2
aerial,5
aero,0
aerobatics,1
aerobic,0
aerobics,0
aesthetic,7
aesthetics,1
af,2
afar,5
affair,1
affaire,1
affairs,3
affect,16
affected,45
affecting,17
affection,1
affectionate,1
affective,1
affects,3
afflicted,1
affliction,0
afford,3
affordable,4
afghan,1
afghanistan,0
aficionados,1
afloat,1
afm,1
afraid,17
africa,111
african,18
africans,3
afro,4
aftereffects,4
afterlife,1
aftermath,1
afternoon,41
afterthought,1
ag,2
agar,0
age,39
aged,5
ageing,1
agencies,4
agency,7
agenda,4
agent,5
agents,2
ages,7
aggression,1
aggressive,1
agility,1
aging,44
agitated,1
agnes,1
agony,0
agra,8
agree,21
agreed,4
agreement,0
agrees,0
agricultural,0
agriculture,1
aguilar,0
ah,5
ahead,33
ahh,1
ahhh,2
ahhhh,2
ahmad,2
ahmedabad,20
ahoy,0
ai,2
aid,12
aidan,1
aide,0
aides,1
aids,5
aileen,1
ails,0
aim,1
aimed,2
aiming,1
aims,1
ain,71
air,79
airbase,1
airborne,1
airbus,0
aircraft,4
aires,0
airlie,1
airline,2
airlines,4
airplane,2
airplanes,1
airport,26
airports,2
airs,2
airsoft,0
airways,0
aisles,1
aisling,1
aj,2
aja,0
aji,0
ajit,0
ak,2
aka,56
akai,2
akin,1
akira,1
akshay,1
al,21
ala,2
alabama,15
aladdin,1
alain,1
alamo,1
alamos,1
alan,1
alanna,1
alarm,2
alarming,3
alas,1
alaska,2
albans,2
albany,7
albatross,1
alberni,0
albert,7
alberta,4
alberto,2
albion,0
album,25
albums,2
albuquerque,2
alcatraz,4
alcohol,26
alcoholic,2
alcoholics,0
alcs,1
aldwych,0
ale,5
alert,25
alerted,1
alerting,1
alertness,2
alerts,1
alex,5
alexa,2
alexander,1
alexanderplatz,1
alexandra,1
alexandria,6
alexia,1
alf,0
alfonso,1
alfred,1
alfredo,0
algarve,2
algeria,1
algiers,1
algonquin,0
algorithm,2
ali,6
alias,1
alice,1
alicia,1
alien,1
aliens,0
align,1
aligned,1
alignment,1
alike,0
alison,1
alittle,1
alive,27
allah,32
allahabad,1
allegedly,1
allegory,1
allen,8
allergies,6
allergy,3
alleviate,1
alley,2
alliance,2
alligator,5
allison,1
alliteration,0
alllll,0
allocated,0
alloted,1
allotment,0
allow,15
allowance,1
allowed,25
allowing,3
allows,2
alls,27
alltogether,3
ally,1
allyson,1
alma,0
almighty,10
aloha,7
alok,2
aloma,1
aloo,1
aloof,1
alot,4
alpha,2
alphabetically,0
alpine,1
alps,3
alright,13
alrite,0
alt,1
alta,1
altar,1
altered,1
alternative,5
altitude,2
alto,0
aluminium,0
aluminum,1
alumna,1
alumni,3
alumnus,1
alums,1
alvarez,1
alway,1
alyssa,4
alzheimers,1
ama,4
aman,2
amanda,1
amando,0
amar,1
amara,1
amaro,0
amaze,1
amazed,4
amazing,91
amazingly,1
amazon,17
ambassador,10
ambassadors,2
amber,1
ambience,2
ambient,1
ambitious,2
amboy,1
ambulance,4
ambulances,0
amc,4
amelia,1
amen,7
amendment,2
america,45
americana,1
americans,3
ames,2
amg,0
ami,1
amigos,1
amin,1
amit,1
amity,0
amma,1
ammo,1
ammonia,1
amnesty,2
amor,2
amount,8
amp,876
ample,1
amplified,1
amplifying,1
amputated,0
amputation,0
amrita,1
amritsar,3
amruta,0
amsterdam,30
amusing,1
amy,1
ana,4
anagram,2
anaheim,3
analysing,0
analysis,4
analyst,0
analytical,1
anand,1
anastasia,1
anatomy,1
anc,2
ancestors,2
ancestry,1
anchor,6
ancient,4
anda,1
anders,1
anderson,2
andover,2
andrea,0
andrej,0
andrew,2
android,11
andy,1
anemic,1
anesthesiologist,0
ang,2
angel,9
angela,3
angeles,154
angels,2
anger,4
angered,1
angie,16
angle,1
angles,4
angling,2
angry,4
angst,1
anil,1
animal,20
animals,26
animated,1
animation,15
anime,3
anita,1
anja,0
ankles,1
ann,3
anna,1
annabelle,1
anne,2
annette,1
annie,1
anniversaries,7
anniversary,8
announce,9
announced,11
announcement,14
announcements,1
announces,4
announcing,1
annoyed,1
annoying,2
annual,3
anointed,0
anonymous,1
ans,2
ansonia,1
answer,19
answered,2
answering,2
answers,19
ant,2
antarctica,1
antes,1
anthem,3
anthems,1
anthony,2
anti,19
antibiotics,0
antibodies,7
antibody,2
anticipate,3
anticipated,5
anticipation,0
antidote,2
antique,0
antiques,2
antiquities,0
antisocial,0
antivirus,6
antoni,2
antonio,16
antwerp,2
anu,1
anxieties,1
anxiety,23
anxious,5
anxiously,1
anyhow,2
anymore,14
anytime,9
anyway,19
anyways,6
anywhere,21
ao,1
ap,1
aparna,1
apart,23
apartment,11
apartments,4
apc,1
ape,3
apes,1
apex,1
aphorisms,0
apiece,1
apna,1
apne,0
apocalypse,29
apocalyptic,3
apollo,6
apologies,1
apologise,1
apologize,3
apologized,1
apology,1
app,33
appalling,0
apparel,6
apparently,10
appart,0
appeal,8
appealed,4
appealing,2
appeals,0
appear,1
appearance,5
appeared,1
appears,3
appetizer,0
applaud,3
applauding,2
applause,5
applauses,1
apple,15
appliances,1
applicable,2
application,4
applications,1
applied,1
applies,1
apply,9
applying,2
appointed,3
appointment,11
appointments,5
appraisal,1
appraisals,1
appreciate,42
appreciated,10
appreciating,1
appreciation,11
appreciative,1
apprehensive,1
approach,3
approached,2
approaching,2
appropriate,7
approval,1
approve,2
approved,7
approves,4
approx,2
approximately,1
apps,5
apr,91
april,247
apropos,1
apt,4
aptly,0
aq,0
aquarium,1
aquarius,2
aquatic,0
ar,3
arab,26
arabia,1
arabian,1
arabic,1
arachnid,0
aragorn,0
arbor,0
arbus,0
arc,1
arcade,1
arch,2
archbishop,1
archer,0
archery,0
archie,1
architect,1
architects,2
architectural,2
architecture,31
archival,1
archive,5
archived,1
archives,6
area,38
areas,14
arena,0
argentina,4
argentine,0
argue,0
arguing,0
argument,0
argyll,1
aria,1
ariel,1
arisen,1
arises,2
arising,1
aristotle,0
arizona,39
arjun,1
arkansas,7
arlington,8
arm,4
armada,1
armageddon,2
armani,1
armed,3
armor,1
armoured,0
armoury,1
armpits,1
arms,6
armstrong,1
army,10
arora,0
arrange,1
arranged,0
arrangements,2
arranging,3
arrest,8
arresting,0
arriba,1
arrival,8
arrivals,0
arrive,2
arrived,12
arrives,1
arriving,3
arrogance,1
arrows,1
arse,3
arsed,0
arsenal,1
arsenic,0
arsonists,0
art,262
arte,0
artform,0
artichoke,2
article,39
articles,3
artiest,1
artifacts,1
artificially,0
artisan,1
artisans,3
artist,98
artiste,0
artistes,2
artistic,21
artistry,0
artists,32
arts,23
artsy,7
artwork,30
artworks,14
arty,1
aruba,5
arundel,2
arundhati,1
arvo,1
asain,1
asante,1
asap,9
ascend,1
ascent,2
ascribe,0
asda,0
ash,3
ashamed,0
asheville,3
ashford,1
ashlee,0
ashley,2
ashoka,1
ashwin,1
asia,15
asian,9
asians,1
aside,8
asif,1
ask,39
asked,18
asking,12
asks,7
asl,1
asleep,2
aso,1
aspect,2
aspects,1
aspen,1
aspire,1
aspiring,1
ass,30
assassin,0
assault,0
assembled,1
assembles,0
assembly,3
asses,2
assess,1
assessment,5
asset,1
assets,1
asshole,0
assholes,1
assigned,1
assignment,4
assignments,2
assist,8
assistance,9
assistant,5
assistants,1
assisted,0
assisting,2
associated,4
associates,1
association,7
associations,0
assorted,2
assume,1
assumed,0
assurances,1
assure,4
assured,2
asthma,3
aston,0
astoria,4
astounding,1
astrid,0
astro,1
astrological,2
astrology,2
astronauts,1
astronomy,2
astute,0
aswell,1
asylum,5
ata,3
ate,4
atelier,3
atheist,2
athens,8
athlete,8
athletes,4
athletic,0
athletics,1
ati,0
atlanta,105
atlantic,4
atlas,1
atleast,3
atm,5
atmosphere,3
atomic,3
atop,3
atrocities,1
att,1
attach,2
attached,2
attack,14
attacked,2
attacking,1
attacks,3
attempt,8
attempted,5
attempting,5
attempts,2
attend,8
attendance,2
attendant,1
attended,4
attendees,1
attending,3
attention,19
attentions,1
attica,1
attire,5
attitude,8
attorney,3
attracted,1
attractions,1
attracts,0
atypical,1
au,5
auberge,1
aubrey,1
auburn,1
auction,1
auctioned,1
audi,1
audience,0
audio,10
audiobooks,1
audition,2
auditions,1
auditorium,0
audubon,0
august,7
augusta,1
augustin,1
auh,1
aunt,3
auntie,0
aunties,1
aunty,4
aur,3
aura,3
aurora,2
aus,3
auspicious,1
aussie,2
aussies,1
austin,43
australia,81
australian,3
australians,3
austria,14
austrian,1
authentic,2
authentically,1
author,3
authored,1
authoritarian,1
authorities,6
authority,2
authors,2
auto,4
autobiography,0
automata,1
automatically,1
automation,2
automaton,1
automobiles,1
automotive,2
autonomous,0
autos,1
autumn,6
av,0
availability,3
available,139
avalon,1
avant,0
avantgarde,2
avatar,1
avatars,1
ave,8
avec,1
avenge,1
avengers,3
avenue,40
average,11
averages,1
avi,2
aviation,2
avid,1
aviv,8
avocado,0
avoid,56
avoidable,0
avoided,4
avoiding,8
avon,2
avril,0
avtaar,0
await,2
awaiting,1
awaits,1
awake,2
awaken,0
awakening,3
award,5
awards,3
aware,14
awareness,71
awe,2
awesome,36
awesomely,0
awesomeness,1
awful,5
awfully,0
awhile,0
awkward,2
aww,1
ax,1
axel,1
ay,3
aya,0
ayala,0
aye,3
ayer,1
ayurvedic,0
ayutthaya,0
az,6
azalea,1
azur,0
azz,2
b,80
ba,1
baaaack,1
baaad,0
baal,0
baat,1
baba,1
babe,2
babes,3
babies,19
babu,1
baby,61
babyface,2
babysit,0
babysitter,1
baca,0
bacardi,2
bach,1
bachelor,2
backbone,1
backdrop,2
background,8
backlash,1
backpack,1
backpackers,1
backpacking,2
backs,1
backstabbing,1
backstage,1
backstory,1
backstreet,1
backup,2
backwards,3
backyard,25
backyards,0
bacon,14
bacteria,5
bacterial,2
bad,81
badass,2
badasses,2
badboys,0
baddest,1
baddie,0
baden,2
badge,3
badguy,2
badguys,0
badlands,0
badly,3
badman,2
badminton,4
badshah,1
bae,4
bag,22
bagels,1
bagg,1
baggins,1
bagman,0
bags,5
baguette,2
baguettes,1
bah,0
bahahahaha,0
bahamas,1
bahrain,3
bai,1
bail,2
bailey,1
bailout,1
bait,2
baithe,3
baja,0
bake,7
baked,9
baker,4
bakers,2
bakersfield,3
bakery,5
bakes,0
baking,39
balance,12
balanced,3
balboa,2
balcony,23
bald,1
baldwin,5
bali,33
balkan,0
ball,12
baller,0
ballerina,1
ballet,8
ballgame,0
balloon,1
balloons,2
ballot,11
ballroom,1
balls,5
bally,1
balsamic,0
baltimore,20
bam,4
bamboo,2
ban,8
bana,1
banana,7
bananas,7
banaras,1
band,16
banda,2
bandanna,0
bandara,1
bandidos,1
bandit,4
bandito,1
bands,7
bandwagon,1
bandwidth,0
bane,2
banerjee,1
bang,5
banging,5
bangkok,3
bangla,2
bangladesh,10
bangladeshi,1
bangor,3
banish,0
bank,20
bankers,0
banking,0
bankruptcy,0
banks,2
banned,2
banner,1
banners,0
banning,0
banquet,0
banquets,1
bans,1
banter,0
baptist,4
barack,2
barba,0
barbados,0
barbara,4
barbecue,4
barber,29
barbers,10
barbershop,6
barbet,1
barbie,3
barbies,1
barbs,1
barc,1
barcelona,9
barclays,1
bare,8
barely,4
bargain,1
bargains,0
bark,1
barked,1
barking,4
barley,1
barn,1
barnard,2
barnes,2
barnet,0
barracks,0
barrage,2
barre,1
barrel,3
barreling,1
barren,1
barrett,1
barrier,3
barriers,0
barrio,0
barrister,1
barrow,1
barry,2
bars,19
bart,0
bartender,2
bartenders,1
barter,0
bartlett,1
barton,2
bas,2
basa,1
base,7
baseball,4
based,26
baseline,1
basement,4
bash,1
basia,4
basic,17
basically,11
basics,5
basil,2
basildon,1
basilica,1
basin,2
basis,8
basket,3
basketball,6
baskin,1
basking,1
bass,16
bassis,1
bassist,2
bastard,1
bastards,0
bat,4
bata,2
batch,10
batches,1
bates,2
batgirl,1
bath,10
bathe,1
bathed,1
bathing,2
bathroom,6
baths,1
bathtub,2
batman,4
baton,2
batons,0
bats,2
battered,0
batteries,0
battersea,0
battery,1
batting,0
battle,25
battles,3
battling,6
bavaria,1
bavarian,1
baxter,1
bay,29
bayern,3
bayless,1
bayonne,1
bayreuth,1
bazaar,2
bb,1
bbc,8
bbcamerica,0
bbq,23
bc,21
bcs,0
bd,1
beach,186
beaches,14
beaching,0
beacon,4
bead,0
beads,1
beagle,0
beam,2
beamed,1
bean,6
beanies,1
beans,4
bear,16
bearable,1
beard,41
bearded,4
beards,2
bearing,1
bears,4
beast,10
beasts,0
beat,84
beaten,2
beating,4
beatles,1
beats,35
beaumont,1
beautician,0
beauties,4
beautiful,190
beautifully,2
beautify,1
beauty,67
bebe,1
bec,0
became,39
becca,1
beck,1
become,52
becomes,7
becoming,12
becouse,2
becuz,0
bed,28
bedding,1
bedford,0
bedouin,0
bedridden,1
bedrock,1
bedroom,10
beds,0
bedsheet,0
bedtime,0
bee,1
beef,12
beegees,4
beekeepers,1
beer,128
beered,1
beers,5
bees,1
beethoven,1
beetroot,0
befallen,1
befitting,1
beforehand,1
beg,2
began,11
begged,1
begging,2
begin,16
beginner,2
beginners,0
beginning,16
beginnings,3
begins,10
begone,1
begun,4
behalf,1
behave,2
behaving,1
behavior,1
behaviour,1
behaviours,0
behinds,1
behold,1
beige,0
beijing,3
beings,1
beirut,13
belarus,19
belated,1
belfast,3
belgian,1
belgium,37
belgrade,5
belief,1
beliefs,1
believe,63
believed,4
believer,5
believers,2
believes,12
believing,6
belive,4
belived,1
bell,7
bella,1
belle,2
belleau,1
bellevue,6
bellied,1
bellies,1
bellingham,0
bello,0
bellow,0
bells,4
bellucci,1
belly,6
belmont,0
belong,4
belongs,1
beloved,16
belt,5
belter,0
belts,0
belvedere,1
ben,2
bench,32
benches,1
benchmark,1
bend,9
bene,3
benedict,2
benefactors,1
beneficial,1
benefit,7
benefiting,2
benefits,9
bengal,9
bengali,2
benidorm,0
benjamin,1
benji,1
bennett,2
benny,3
benson,2
bent,1
bentley,1
benton,3
benz,2
beo,1
ber,1
berg,2
bergen,2
berkeley,2
berkshire,4
berlin,35
berlinale,1
berliners,1
bernal,1
bernard,2
bernice,1
bernie,1
bernstein,0
berries,1
berry,0
berserk,1
bert,1
bespoke,4
bestest,0
besties,0
bests,1
bestseller,1
bet,16
beta,1
beth,2
betta,0
bettering,1
betty,1
beutiful,1
beverage,3
beverages,1
beverly,9
beware,5
bey,1
beyonce,5
bf,1
bfc,1
bff,5
bffs,2
bg,1
bgm,1
bhag,0
bhai,1
bharat,9
bharti,1
bhat,1
bhatia,1
bhatti,1
bhi,4
bhopal,6
bhutan,1
bi,1
bib,1
bible,6
biblical,1
biceps,1
bicycle,4
bicycles,1
bid,5
bidder,1
bidet,0
big,111
bigfoot,1
bigg,2
bigger,12
biggest,19
biggie,1
bihar,8
bike,35
biked,0
biker,4
bikes,6
biking,1
bikini,2
biko,2
bild,1
bilingual,0
bill,20
billboard,2
billboards,1
billing,1
billings,2
billion,3
billionaires,1
billions,2
bills,3
billy,3
bin,3
binary,1
bind,0
binder,1
binding,2
bing,1
binge,4
binghamton,1
binging,1
bingo,2
binks,1
bintang,1
bio,168
biochemical,1
biohazard,2
biological,2
biologist,1
biology,3
bioterrorism,0
bioweapons,0
bir,2
bird,14
birdie,1
birdman,0
birds,45
birmingham,7
birth,6
birthday,118
birthdays,14
birthplace,1
biryani,1
biscuits,4
bisexual,1
bishop,2
bison,1
bistro,2
bit,90
bitch,22
bitches,14
bitchin,1
bitchy,1
bites,0
biting,1
bitter,2
bittersweet,3
bittersweetness,1
biz,3
bizarre,3
bizzaro,0
bjm,0
black,70
blackberry,0
blackburn,1
blackened,3
blacklist,3
blackman,0
blackout,2
blackpool,4
blackrock,1
blacks,2
blackwell,1
blackwood,1
blade,1
blades,0
blah,3
blaine,1
blair,1
blake,3
blame,8
blamed,0
blames,0
blaming,2
blanc,0
blanket,1
blankets,1
blas,1
blase,0
blast,3
blasted,0
blasting,1
blatantly,0
blaze,1
blazer,0
bleach,0
bleakness,1
blend,2
blended,1
blender,2
blending,1
blends,0
bless,39
blessed,83
blessing,20
blessings,20
bleu,1
blew,2
blind,0
blinded,1
blindfold,0
blinds,2
bling,18
blinking,0
bliss,6
blissful,1
blister,1
blisters,0
blitz,1
block,11
blockbuster,1
blocked,1
blocking,2
blocks,2
bloddy,0
blog,32
blogging,1
blogs,0
blogtalkradio,2
bloke,1
blond,1
blonde,4
blood,33
blooded,1
bloodless,1
bloodshot,0
bloodwork,0
bloody,12
bloom,3
bloomed,0
blooming,1
bloomington,5
blooms,1
bloopers,2
bloor,1
blossom,15
blossoms,13
blow,9
blower,0
blowing,4
blowjob,0
blown,3
blows,2
blu,1
blubber,0
blue,48
blueberries,0
blueberry,0
bluegrass,1
blues,32
bluff,1
blunders,1
blunt,1
bluntly,0
blunts,1
blur,2
blurr,1
blushed,1
blvd,4
bmx,2
bn,1
bo,3
board,13
boarded,3
boardgames,2
boardroom,0
boards,1
boardwalk,1
boasted,1
boasting,1
boat,9
boating,0
boats,1
boaz,0
bob,3
bobby,5
bobo,1
bobs,1
boca,7
bode,0
bodega,0
bodies,6
bods,0
body,80
bodybuilder,2
bodybuilding,7
bodysnatchers,1
bog,0
boggling,0
bogota,2
boho,0
boi,1
boil,4
boiled,2
boiling,2
boils,1
boing,0
bois,1
boise,0
bold,3
boldness,1
bolivia,0
bollocks,1
bollywood,16
bologna,0
bolster,2
bolsters,0
bolton,2
bomb,3
bombarding,1
bombay,4
bomber,2
bombing,0
bon,1
bonanza,1
bond,4
bondi,1
bonding,3
bonds,0
bone,2
bones,1
bonfire,1
bong,1
bongs,0
boni,1
bonkers,1
bonnet,1
bonnets,1
bonus,2
boo,8
boobies,1
booboo,0
boobs,3
boogie,1
book,47
booked,4
booking,4
bookings,4
books,25
bookshelves,1
bookshop,0
bookworms,5
boom,4
boomerang,0
boomers,1
booming,1
boon,2
boondocks,1
boooooom,1
booring,0
boos,1
boost,18
booster,1
boosters,0
boosting,2
boosts,0
boot,0
bootcamp,3
booth,2
booths,0
bootleg,1
boots,2
booty,2
booze,2
boozing,1
bora,0
borchardt,1
bordeaux,2
border,2
borderline,0
borders,1
bore,2
bored,99
boredom,34
boring,14
boris,12
born,11
borne,1
borough,7
borrow,1
borrowed,1
bosch,0
bose,1
bosnia,0
bosphorus,1
boss,14
boston,24
bot,1
botanical,1
botanist,1
bother,3
bothered,1
botswana,4
bottle,11
bottled,0
bottles,11
bottom,3
bottoms,1
bought,22
boulder,3
boulevard,3
bounce,5
bouncing,1
bound,1
boundaries,4
bounds,1
bountiful,1
bounty,1
bouquet,1
bourbon,4
bourke,1
bournemouth,9
bout,13
boutique,11
bow,2
bowe,1
bowen,0
bowie,4
bowing,0
bowl,5
bowling,3
bowls,0
bowman,1
box,26
boxer,2
boxers,1
boxes,7
boxing,12
boy,55
boyfriend,5
boyle,1
boys,27
boyz,1
bpc,0
bpl,1
bq,1
br,1
bra,2
brabant,3
brac,1
brace,1
bracelet,1
braces,1
bracket,0
brad,3
bradbury,1
bradford,9
bradshaw,1
brady,0
braff,0
brag,1
braids,2
brain,3
brainer,0
brainless,0
brains,1
brainstorm,2
brake,3
braking,1
branch,2
branches,4
brand,34
branded,2
brandenburg,3
brandi,0
branding,10
brandon,1
brands,7
brandy,3
branson,1
bras,0
brasher,1
brasil,5
brass,4
brats,1
brave,8
bravery,1
braves,1
braving,3
bravo,3
bravos,1
brawl,1
brawn,1
brazil,55
brazilian,6
brazilians,1
brea,2
breach,1
bread,26
breads,1
break,100
breakaway,0
breakdown,2
breaker,5
breakers,0
breakfast,39
breakfasts,1
breaking,19
breakout,1
breaks,3
breakthrough,3
breakup,1
breast,1
breasts,1
breath,25
breathable,1
breathe,14
breathed,1
breather,1
breathes,0
breathing,71
breaths,1
breathtaking,3
breckenridge,1
bred,1
breed,1
breeder,1
breeders,0
breeding,0
breeds,1
breeze,1
breezy,1
bremen,6
brent,3
brentwood,17
brethren,1
brevity,0
brew,3
brewed,1
brewer,1
brewery,5
brewing,3
brews,1
brian,3
brick,1
bricks,1
brickwork,2
bridal,2
bride,5
brides,3
bridesmaid,1
bridesmaids,1
bridge,20
bridgeport,1
brie,2
brief,4
briefing,2
brien,3
brigade,2
briggs,0
bright,28
brighten,14
brightened,1
brightens,1
brighter,3
brighton,9
briley,0
brilliant,3
brim,1
brimming,0
bring,69
bringing,34
brings,25
brinks,1
brisbane,10
brisk,1
bristol,19
britain,6
britannia,1
british,26
britney,1
britons,1
brits,1
brittain,0
britten,1
bro,24
broad,3
broadcast,9
broadcasting,1
broadhurst,1
broadway,8
broccoli,2
brochure,0
brock,0
brogues,1
broke,14
broken,9
brokenhearted,1
broker,0
bromley,5
bronte,1
bronx,16
bronze,0
bronzed,1
brood,1
brook,0
brooke,2
brookfield,2
brooklyn,83
brooms,1
bros,3
broth,0
brotha,0
brother,31
brotherhood,4
brothers,22
brought,40
brown,12
brownie,0
brownies,0
browns,2
browse,1
browsing,1
bruce,5
bruges,0
brugge,0
bruise,1
bruises,2
brum,0
brunch,8
brush,1
brushed,1
brushes,1
brushing,0
brussel,3
brussels,2
brutal,2
brutality,1
brutally,1
bryan,1
bryans,1
bryant,1
bryce,1
bs,4
bsa,1
bsb,0
bt,1
bts,6
btw,9
bubba,1
bubble,5
bubbles,3
bubbling,0
bubonic,3
buchanan,1
bucharest,2
buck,1
bucket,4
buckets,1
buckingham,0
buckinghamshire,35
buckle,1
bucks,4
buckshot,0
bucktown,0
bud,3
budapest,0
budd,1
buddha,1
buddies,5
budding,1
buddy,10
budge,1
budget,1
buds,4
budweiser,1
buena,1
buenos,1
buff,1
buffalo,6
buffer,1
bug,8
bugged,1
buggers,1
bugs,2
buh,0
build,22
builder,1
builders,1
building,46
buildings,8
built,9
bujo,0
bukowski,0
bulb,1
bulbs,0
bulgaria,4
bulgarian,1
bulge,2
bulk,0
bulky,0
bull,1
bulldog,0
bulldogs,0
bullet,2
bulletin,1
bullets,1
bullhorns,0
bullies,0
bullock,1
bullpen,1
bullring,0
bullsh,0
bullshit,3
bully,1
bullying,1
bummed,1
bummer,1
bump,2
bumper,1
bumping,0
bun,5
buna,1
bunch,6
bundle,7
bundy,8
bunghole,0
bungy,2
bunker,2
bunnies,4
bunny,20
buns,3
bunty,1
buongiorno,0
burbank,2
burden,1
burdened,2
burdens,1
burdick,1
bureau,2
bureaucratic,0
bureaucrats,1
burger,14
burgers,6
burgundy,3
burial,1
buried,2
burke,1
burn,9
burned,2
burner,1
burners,1
burning,3
burns,3
burnt,2
burping,0
burrito,0
burst,2
burton,0
bury,2
bus,15
buses,4
bush,5
bushman,1
busiest,3
business,162
businesses,34
businessmen,8
busker,1
bust,0
busted,2
buster,2
busters,3
busting,2
bustle,1
busy,50
busyness,1
butchers,1
bute,1
butler,3
butlers,0
butt,11
butter,6
buttercream,0
butterflies,3
butterfly,3
buttermilk,1
butternut,1
buttery,1
button,3
buttons,1
butts,1
buy,46
buyer,3
buyers,1
buying,12
buzz,5
buzzard,2
buzzing,0
bw,1
bwahahaha,0
bwp,0
bye,10
bypassing,1
byrd,1
byron,0
c,96
ca,83
cab,1
cabaret,3
cabbage,3
cabin,6
cabinet,3
cable,2
cables,1
cabo,0
caboolture,1
cabs,0
cacophony,0
cactus,2
caddy,0
cadet,0
cadillac,2
caesar,1
cafe,31
cafes,0
caffeinated,0
cage,4
caged,3
cairns,1
cairo,3
cake,28
cakes,4
cal,0
calamitous,1
calamity,1
calculate,1
calculus,0
calcutta,2
calder,1
caldwell,1
calendar,2
calgary,0
cali,2
california,517
call,191
callaway,1
called,46
callen,0
calles,0
calligraphy,2
callin,1
calling,17
calls,20
calm,51
calming,1
calmly,0
calmness,6
calms,1
calorie,2
calories,0
calves,1
calypso,0
calzone,1
cam,4
camaro,1
cambodia,5
cambridge,5
camden,1
came,76
camels,0
cameo,4
camera,21
cameraman,1
cameras,1
cameron,1
cameroon,1
camino,1
camo,6
camp,14
campaign,25
campaigning,1
campaigns,2
campbell,0
camper,1
campers,1
campground,1
camping,12
campos,0
camps,0
campus,6
campuses,1
canada,29
canadian,3
canadien,0
canal,5
canals,0
canary,2
canberra,0
cancel,12
canceled,9
canceling,3
cancellation,2
cancelled,32
cancelling,2
cancels,1
cancer,4
candice,0
candid,5
candidate,2
candies,0
candle,8
candlelight,5
candles,21
candy,3
cane,1
cannabis,3
canned,1
cannery,1
cannibal,0
canning,2
canon,32
canopy,2
cans,1
cant,16
canteen,2
canterbury,1
cantina,0
canton,1
cantor,1
canvas,5
canyon,11
cap,4
capabilities,1
capable,2
capacities,2
capacity,7
capaldi,0
cape,55
caper,3
capers,1
capes,0
capital,12
capitalism,3
capitalize,1
capitalizing,1
capitan,1
capitol,1
