,0
advisor,1
advisors,2
advisory,4
advocate,1
advocates,1
advocating,1
ae,2
aerial,7
aero,1
aerobatics,1
aerobic,0
aerobics,2
aesthetic,10
aesthetics,1
af,12
afar,5
affair,1
affaire,1
affairs,4
affect,18
affected,62
affecting,18
affection,1
affectionate,1
affective,1
affects,4
afflicted,2
affliction,0
afford,6
affordable,5
afghan,1
afghanistan,1
aficionados,1
afloat,1
afm,1
afraid,18
africa,146
african,17
africans,4
afro,5
aftereffects,5
afterlife,1
aftermath,1
afternoon,45
afterthought,1
ag,2
agar,1
age,41
aged,6
ageing,1
agencies,4
agency,8
agenda,5
agent,6
agents,3
ages,8
aggression,1
aggressive,1
agility,1
aging,44
agitated,2
agnes,1
agony,1
agra,8
agree,23
agreed,4
agreement,0
agrees,2
agricultural,1
agriculture,1
aguilar,1
ah,5
ahead,32
ahh,2
ahhh,3
ahhhh,3
ahmad,2
ahmedabad,24
ahoy,1
ai,2
aid,13
aidan,1
aide,2
aides,1
aids,8
aileen,1
ails,1
aim,1
aimed,2
aiming,1
aims,1
ain,82
air,92
airbase,1
airborne,3
airbus,2
aircraft,6
aires,1
airlie,1
airline,2
airlines,4
airplane,2
airplanes,1
airport,35
airports,2
airs,2
airsoft,0
airways,2
aisles,3
aisling,1
aj,4
aja,1
aji,1
ajit,0
ak,2
aka,62
akai,3
akin,1
akira,1
akshay,3
al,26
ala,2
alabama,16
aladdin,1
alain,1
alamo,1
alamos,1
alan,2
alanna,1
alarm,4
alarming,1
alas,1
alaska,3
albans,2
albany,4
albatross,1
alberni,0
albert,7
alberta,12
alberto,0
albion,1
album,28
albums,2
albuquerque,2
alcatraz,4
alcohol,30
alcoholic,2
alcoholics,0
alcs,1
aldwych,1
ale,6
alert,32
alerted,1
alerting,1
alertness,2
alerts,3
alex,9
alexa,3
alexander,1
alexanderplatz,1
alexandra,1
alexandria,8
alexia,1
alf,1
alfonso,0
alfred,2
alfredo,0
algarve,1
algeria,1
algiers,4
algonquin,0
algorithm,2
ali,11
alias,1
alice,1
alicia,1
alien,2
aliens,2
align,1
aligned,1
alignment,1
alike,2
alison,1
alittle,1
alive,31
allah,31
allahabad,1
allegedly,1
allegory,1
allen,8
allergies,4
allergy,2
alleviate,0
alley,2
alliance,2
alligator,5
allison,1
alliteration,1
alllll,2
allocated,1
alloted,1
allotment,1
allow,23
allowance,0
allowed,34
allowing,3
allows,3
alls,30
alltogether,3
ally,1
allyson,1
alma,0
almighty,13
aloha,9
alok,2
aloma,1
aloo,1
aloof,1
alot,5
alpha,2
alphabetically,0
alpine,1
alps,3
alright,18
alrite,1
alt,0
alta,1
altar,1
altered,1
alternative,8
altitude,1
alto,1
aluminium,1
aluminum,2
alumna,1
alumni,5
alumnus,1
alums,1
alvarez,1
alway,1
alyssa,4
alzheimers,1
ama,5
aman,2
amanda,1
amando,1
amar,1
amara,1
amaro,1
amaze,0
amazed,4
amazing,120
amazingly,1
amazon,24
ambassador,11
ambassadors,4
amber,1
ambience,2
ambient,1
ambitious,2
amboy,1
ambulance,7
ambulances,1
amc,4
amelia,1
amen,16
amendment,2
america,58
americana,1
americans,4
ames,2
amg,1
ami,1
amigos,1
amin,1
amit,1
amity,1
amma,1
ammo,1
ammonia,0
amnesty,2
amor,2
amount,13
amp,1000
ample,0
amplified,1
amplifying,1
amputated,1
amputation,1
amrita,1
amritsar,3
amruta,1
amsterdam,34
amusing,1
amy,1
ana,4
anagram,2
anaheim,3
analysing,1
analysis,4
analyst,1
analytical,1
anand,1
anastasia,1
anatomy,1
anc,2
ancestors,1
ancestry,1
anchor,6
ancient,6
anda,1
anders,1
anderson,4
andover,2
andrea,1
andrej,1
andrew,5
android,11
andy,2
anemic,0
anesthesiologist,0
ang,1
angel,9
angela,3
angeles,187
angels,3
anger,4
angered,1
angie,16
angle,0
angles,4
angling,3
angry,4
angst,2
anil,1
animal,26
animals,31
animated,2
animation,18
anime,4
anita,1
anja,2
ankles,1
ann,5
anna,3
annabelle,1
anne,2
annette,1
annie,1
anniversaries,0
anniversary,12
announce,12
announced,18
announcement,18
announcements,1
announces,5
announcing,1
annoyed,2
annoying,2
annual,6
anointed,0
anonymous,1
ans,4
ansonia,1
answer,24
answered,2
answering,2
answers,21
ant,2
antarctica,1
antes,2
anthem,3
anthems,1
anthony,2
anti,22
antibiotics,0
antibodies,7
antibody,1
anticipate,3
anticipated,5
anticipation,1
antidote,6
antique,4
antiques,2
antiquities,1
antisocial,1
antivirus,6
antoni,2
antonio,18
antwerp,4
anu,1
anxieties,1
anxiety,30
anxious,5
anxiously,1
anyhow,2
anymore,16
anytime,12
anyway,21
anyways,8
anywhere,26
ao,3
ap,2
aparna,1
apart,27
apartment,15
apartments,6
apc,1
ape,3
apes,1
apex,2
aphorisms,1
apiece,1
apna,2
apne,1
apocalypse,36
apocalyptic,5
apollo,7
apologies,2
apologise,1
apologize,3
apologized,1
apology,1
app,36
appalling,0
apparel,8
apparently,15
appart,1
appeal,14
appealed,4
appealing,1
appeals,1
appear,0
appearance,8
appeared,1
appears,5
appetizer,1
applaud,4
applauding,2
applause,5
applauses,1
apple,27
appliances,1
applicable,2
application,6
applications,1
applied,1
applies,2
apply,12
applying,2
appointed,4
appointment,14
appointments,9
appraisal,1
appraisals,1
appreciate,50
appreciated,10
appreciating,4
appreciation,11
appreciative,1
apprehensive,1
approach,4
approached,2
approaching,2
appropriate,8
approval,2
approve,1
approved,15
approves,4
approx,2
approximately,1
apps,3
apr,91
april,296
apropos,1
apt,5
aptly,1
aq,0
aquarium,1
aquarius,1
aquatic,0
ar,4
arab,30
arabia,8
arabian,1
arabic,2
arachnid,0
aragorn,1
arbor,4
arbus,1
arc,1
arcade,1
arch,2
archbishop,1
archer,0
archery,0
archie,1
architect,3
architects,2
architectural,2
architecture,46
archival,1
archive,5
archived,1
archives,6
area,59
areas,17
arena,4
argentina,6
argentine,1
argue,1
arguing,1
argument,0
argyll,1
aria,1
ariel,4
arisen,1
arises,2
arising,1
aristotle,0
arizona,51
arjun,1
arkansas,11
arlington,11
arm,5
armada,1
armageddon,2
armani,1
armed,4
armor,2
armoured,0
armoury,1
armpits,2
arms,8
armstrong,1
army,13
arora,1
arrange,1
arranged,1
arrangements,3
arranging,3
arrest,11
arresting,0
arriba,1
arrival,11
arrivals,1
arrive,5
arrived,13
arrives,2
arriving,3
arrogance,1
arrows,1
arse,3
arsed,1
arsenal,2
arsenic,1
arsonists,0
art,312
arte,6
artform,1
artichoke,2
article,49
articles,3
artiest,1
artifacts,1
artificially,0
artisan,1
artisans,4
artist,121
artiste,5
artistes,2
artistic,27
artistry,1
artists,34
arts,31
artsy,9
artwork,37
artworks,15
arty,1
aruba,5
arundel,2
arundhati,0
arvo,1
asain,1
asante,1
asap,10
ascend,1
ascent,2
ascribe,1
asda,1
ash,4
ashamed,0
asheville,3
ashford,2
ashlee,1
ashley,2
ashoka,1
ashwin,1
asia,19
asian,9
asians,2
aside,11
asif,1
ask,43
asked,23
asking,18
asks,6
asl,1
asleep,4
aso,1
aspect,3
aspects,2
aspen,1
aspire,1
aspiring,1
ass,36
assassin,0
assault,0
assembled,1
assembles,0
assembly,3
asses,2
assess,1
assessment,7
asset,1
assets,1
asshole,1
assholes,2
assigned,1
assignment,3
assignments,2
assist,9
assistance,13
assistant,6
assistants,1
assisted,1
assisting,2
associated,5
associates,2
association,8
associations,1
assorted,2
assume,1
assumed,1
assurances,1
assure,4
assured,4
asthma,3
aston,0
astoria,5
astounding,1
astrid,1
astro,1
astrological,2
astrology,2
astronauts,1
astronomy,2
astute,0
aswell,1
asylum,5
ata,3
ate,5
atelier,3
atheist,2
athens,8
athlete,8
athletes,4
athletic,2
athletics,1
ati,1
atlanta,116
atlantic,4
atlas,1
atleast,3
atm,5
atmosphere,2
atomic,3
atop,3
atrocities,1
att,1
attach,2
attached,3
attack,13
attacked,2
attacking,1
attacks,3
attempt,8
attempted,7
attempting,5
attempts,1
attend,11
attendance,3
attendant,1
attended,6
attendees,1
attending,4
attention,23
attentions,1
attica,1
attire,5
attitude,13
attorney,3
attracted,1
attractions,1
attracts,1
atypical,1
au,5
auberge,1
aubrey,1
auburn,1
auction,1
auctioned,1
audi,1
audience,2
audio,14
audiobooks,1
audition,2
auditions,2
auditorium,1
audubon,1
august,11
augusta,3
augustin,1
auh,1
aunt,6
auntie,1
aunties,1
aunty,5
aur,3
aura,3
aurora,2
aus,2
auspicious,2
aussie,3
aussies,1
austin,54
australia,97
australian,3
australians,3
austria,16
austrian,1
authentic,2
authentically,1
author,5
authored,1
authoritarian,1
authorities,10
authority,3
authors,2
auto,4
autobiography,1
automata,2
automatically,1
automation,2
automaton,1
automobiles,1
automotive,3
autonomous,0
autos,1
autumn,9
av,1
availability,4
available,174
avalon,2
avant,0
avantgarde,2
avatar,0
avatars,1
ave,10
avec,0
avenge,1
avengers,4
avenue,44
average,14
averages,1
avi,2
aviation,4
avid,2
aviv,8
avocado,3
avoid,68
avoidable,1
avoided,4
avoiding,8
avon,2
avril,1
avtaar,1
await,3
awaiting,2
awaits,1
awake,1
awaken,1
awakening,3
award,7
awards,5
aware,16
awareness,89
awe,2
awesome,44
awesomely,1
awesomeness,2
awful,6
awfully,0
awhile,1
awkward,3
aww,1
ax,1
axel,1
ay,3
aya,0
ayala,2
aye,3
ayer,1
ayurvedic,2
ayutthaya,0
az,6
azalea,0
azur,1
azz,2
b,92
ba,2
baaaack,1
baaad,1
baal,1
baat,1
baba,2
babe,4
babes,5
babies,13
babu,1
baby,79
babyface,2
babysit,1
babysitter,1
baca,1
bacardi,2
bach,1
bachelor,2
backbone,0
backdrop,3
background,11
backlash,2
backpack,1
backpackers,1
backpacking,2
backs,1
backstabbing,1
backstage,1
backstory,1
backstreet,1
backup,3
backwards,3
backyard,25
backyards,1
bacon,14
bacteria,6
bacterial,10
bad,100
badass,3
badasses,2
badboys,1
baddest,1
baddie,1
baden,0
badge,3
badguy,2
badguys,0
badlands,1
badly,4
badman,2
badminton,4
badshah,2
bae,7
bag,24
bagels,2
bagg,1
baggins,1
bagman,1
bags,9
baguette,1
baguettes,1
bah,0
bahahahaha,1
bahamas,1
bahrain,3
bai,1
bail,3
bailey,1
bailout,1
bait,2
baithe,1
baja,0
bake,12
baked,10
baker,5
bakers,2
bakersfield,3
bakery,5
bakes,1
baking,45
balance,15
balanced,3
balboa,1
balcony,27
bald,5
baldwin,5
bali,39
balkan,1
ball,14
baller,2
ballerina,1
ballet,8
ballgame,1
balloon,1
balloons,4
ballot,11
ballroom,1
balls,8
bally,1
balsamic,0
baltimore,21
bam,5
bamboo,2
ban,8
bana,2
banana,13
bananas,10
banaras,1
band,19
banda,2
bandanna,2
bandara,1
bandidos,1
bandit,5
bandito,2
bands,6
bandwagon,3
bandwidth,0
bane,2
banerjee,1
bang,6
banging,7
bangkok,7
bangla,2
bangladesh,12
bangladeshi,1
bangor,2
banish,1
bank,26
bankers,0
banking,4
bankruptcy,0
banks,2
banned,3
banner,2
banners,1
banning,0
banquet,1
banquets,1
bans,1
banter,1
baptist,5
barack,0
barba,0
barbados,1
barbara,5
barbecue,5
barber,36
barbers,10
barbershop,11
barbet,1
barbie,5
barbies,1
barbs,1
barc,1
barcelona,8
barclays,1
bare,9
barely,5
bargain,1
bargains,1
bark,1
barked,1
barking,6
barley,1
barn,1
barnard,2
barnes,2
barnet,1
barracks,0
barrage,3
barre,1
barrel,4
barreling,0
barren,2
barrett,1
barrier,3
barriers,2
barrio,1
barrister,1
barrow,1
barry,2
bars,23
bart,1
bartender,2
bartenders,1
barter,0
bartlett,1
barton,2
bas,4
basa,1
base,9
baseball,7
based,36
baseline,1
basement,5
bash,1
basia,2
basic,17
basically,13
basics,5
basil,4
basildon,0
basilica,1
basin,2
basis,9
basket,3
basketball,4
baskin,1
basking,1
bass,16
bassis,1
bassist,2
bastard,1
bastards,1
bat,11
bata,2
batch,10
batches,2
bates,2
batgirl,1
bath,14
bathe,1
bathed,1
bathing,2
bathroom,9
baths,1
bathtub,3
batman,4
baton,3
batons,1
bats,4
battered,0
batteries,1
battersea,0
battery,3
batting,1
battle,29
battles,3
battling,8
bavaria,1
bavarian,1
baxter,2
bay,34
bayern,3
bayless,1
bayonne,1
bayreuth,1
bazaar,2
bb,1
bbc,9
bbcamerica,1
bbq,27
bc,33
bcs,1
bd,1
beach,217
beaches,16
beaching,0
beacon,3
bead,1
beads,1
beagle,2
beam,3
beamed,1
bean,9
beanies,1
beans,12
bear,19
bearable,2
beard,46
bearded,5
beards,4
bearing,1
bears,5
beast,11
beasts,2
beat,110
beaten,2
beating,5
beatles,2
beats,43
beaumont,1
beautician,1
beauties,6
beautiful,245
beautifully,3
beautify,1
beauty,79
bebe,1
bec,1
became,43
becca,1
beck,1
become,63
becomes,9
becoming,13
becouse,2
becuz,3
bed,36
bedding,1
bedford,1
bedouin,1
bedridden,1
bedrock,1
bedroom,11
beds,3
bedsheet,1
bedtime,0
bee,2
beef,14
beegees,4
beekeepers,1
beer,150
beered,1
beers,9
bees,3
beethoven,1
beetroot,0
befallen,1
befitting,1
beforehand,0
beg,4
began,12
begged,1
begging,3
begin,20
beginner,3
beginners,1
beginning,20
beginnings,3
begins,13
begone,1
begun,4
behalf,1
behave,3
behaving,1
behavior,1
behaviour,2
behaviours,0
behinds,1
behold,2
beige,1
beijing,4
beings,1
beirut,15
belarus,18
belated,1
belfast,3
belgian,1
belgium,51
belgrade,5
belief,1
beliefs,1
believe,75
believed,5
believer,5
believers,2
believes,12
believing,6
belive,4
belived,1
bell,8
bella,1
belle,2
belleau,1
bellevue,6
bellied,1
bellies,1
bellingham,4
bello,0
bellow,0
bells,4
bellucci,1
belly,8
belmont,0
belong,4
belongs,1
beloved,20
belt,6
belter,1
belts,2
belvedere,1
ben,5
bench,32
benches,1
benchmark,1
bend,9
bene,4
benedict,2
benefactors,1
beneficial,1
benefit,8
benefiting,2
benefits,10
bengal,10
bengali,2
benidorm,1
benjamin,2
benji,1
bennett,2
benny,3
benson,2
bent,1
bentley,1
benton,3
benz,2
beo,1
ber,1
berg,2
bergen,4
berkeley,2
berkshire,4
berlin,41
berlinale,1
berliners,1
bernal,1
bernard,2
bernice,1
bernie,4
bernstein,0
berries,1
berry,1
berserk,1
bert,1
bespoke,4
bestest,1
besties,6
bests,1
bestseller,1
bet,20
beta,1
beth,3
betta,2
bettering,1
betty,0
beutiful,1
beverage,3
beverages,1
beverly,11
beware,5
bey,1
beyonce,5
bf,2
bfc,0
bff,6
bffs,3
bg,1
bgm,1
bhag,1
bhai,3
bharat,10
bharti,1
bhat,1
bhatia,1
bhatti,1
bhi,4
bhopal,7
bhutan,0
bi,1
bib,1
bible,7
biblical,0
biceps,1
bicycle,6
bicycles,2
bid,6
bidder,1
bidet,1
big,136
bigfoot,1
bigg,2
bigger,12
biggest,21
biggie,2
bihar,8
bike,45
biked,2
biker,6
bikes,8
biking,8
bikini,2
biko,3
bild,1
bilingual,0
bill,19
billboard,3
billboards,1
billing,1
billings,1
billion,8
billionaires,1
billions,2
bills,4
billy,3
bin,3
binary,1
bind,1
binder,1
binding,2
bing,1
binge,6
binghamton,1
binging,1
bingo,2
binks,1
bintang,1
bio,226
biochemical,1
biohazard,3
biological,2
biologist,1
biology,3
bioterrorism,1
bioweapons,0
bir,2
bird,16
birdie,1
birdman,1
birds,48
birmingham,11
birth,3
birthday,150
birthdays,8
birthplace,1
biryani,2
biscuits,3
bisexual,1
bishop,4
bison,1
bistro,2
bit,110
bitch,28
bitches,14
bitchin,1
bitchy,1
bites,0
biting,2
bitter,2
bittersweet,3
bittersweetness,1
biz,6
bizarre,3
bizzaro,1
bjm,1
black,91
blackberry,2
blackburn,1
blackened,3
blacklist,3
blackman,3
blackout,2
blackpool,3
blackrock,1
blacks,2
blackwell,1
blackwood,1
blade,1
blades,1
blah,2
blaine,2
blair,1
blake,4
blame,7
blamed,0
blames,1
blaming,2
blanc,1
blanket,1
blankets,2
blas,1
blase,1
blast,3
blasted,0
blasting,1
blatantly,0
blaze,2
blazer,2
bleach,3
bleakness,1
blend,3
blended,1
blender,3
blending,2
blends,1
bless,45
blessed,91
blessing,24
blessings,22
bleu,1
blew,3
blind,1
blinded,1
blindfold,2
blinds,2
bling,18
blinking,1
bliss,6
blissful,1
blister,1
blisters,1
blitz,1
block,16
blockbuster,2
blocked,0
blocking,2
blocks,2
bloddy,1
blog,43
blogging,1
blogs,1
blogtalkradio,2
bloke,1
blond,1
blonde,6
blood,46
blooded,1
bloodless,1
bloodshot,1
bloodwork,0
bloody,14
bloom,6
bloomed,0
blooming,4
bloomington,5
blooms,1
bloopers,2
bloor,1
blossom,25
blossoms,16
blow,8
blower,0
blowing,4
blowjob,1
blown,6
blows,3
blu,4
blubber,1
blue,59
blueberries,1
blueberry,2
bluegrass,1
blues,34
bluff,1
blunders,1
blunt,1
bluntly,0
blunts,1
blur,3
blurr,1
blushed,1
blvd,4
bmx,3
bn,1
bo,3
board,19
boarded,3
boardgames,2
boardroom,0
boards,1
boardwalk,1
boasted,1
boasting,1
boat,12
boating,1
boats,1
boaz,1
bob,5
bobby,6
bobo,1
bobs,1
boca,3
bode,1
bodega,1
bodies,7
bods,1
body,93
bodybuilder,2
bodybuilding,6
bodysnatchers,0
bog,1
boggling,0
bogota,2
boho,1
boi,6
boil,4
boiled,3
boiling,2
boils,1
boing,1
bois,1
boise,1
bold,3
boldness,1
bolivia,1
bollocks,1
bollywood,18
bologna,3
bolster,1
bolsters,0
bolton,2
bomb,4
bombarding,1
bombay,5
bomber,2
bombing,1
bon,1
bonanza,1
bond,3
bondi,1
bonding,3
bonds,0
bone,2
bones,2
bonfire,1
bong,1
bongs,0
boni,1
bonkers,1
bonnet,1
bonnets,1
bonus,4
boo,9
boobies,1
booboo,0
boobs,3
boogie,1
book,59
booked,7
booking,8
bookings,4
books,28
bookshelves,1
bookshop,1
bookworms,5
boom,5
boomerang,0
boomers,1
booming,1
boon,2
boondocks,4
boooooom,1
booring,0
boos,1
boost,27
booster,1
boosters,2
boosting,3
boosts,1
boot,2
bootcamp,3
booth,3
booths,2
bootleg,1
boots,3
booty,2
booze,3
boozing,1
bora,1
borchardt,1
bordeaux,2
border,4
borderline,1
borders,2
bore,0
bored,120
boredom,40
boring,18
boris,16
born,17
borne,1
borough,7
borrow,1
borrowed,2
bosch,1
bose,1
bosnia,2
bosphorus,1
boss,22
boston,32
bot,1
botanical,1
botanist,1
bother,3
bothered,1
botswana,5
bottle,13
bottled,1
bottles,13
bottom,3
bottoms,2
bought,27
boulder,4
boulevard,3
bounce,5
bouncing,1
bound,2
boundaries,4
bounds,1
bountiful,1
bounty,2
bouquet,1
bourbon,4
bourke,0
bournemouth,9
bout,16
boutique,8
bow,2
bowe,1
bowen,0
bowie,4
bowing,0
bowl,6
bowling,3
bowls,0
bowman,1
box,32
boxer,3
boxers,1
boxes,8
boxing,15
boy,69
boyfriend,7
boyle,1
boys,38
boyz,1
bpc,1
bpl,1
bq,1
br,1
bra,2
brabant,0
brac,1
brace,0
bracelet,1
braces,1
bracket,1
brad,4
bradbury,1
bradford,9
bradshaw,1
brady,1
braff,1
brag,1
braids,3
brain,4
brainer,1
brainless,1
brains,1
brainstorm,3
brake,4
braking,1
branch,3
branches,3
brand,43
branded,2
brandenburg,3
brandi,1
branding,13
brandon,1
brands,8
brandy,3
branson,1
bras,1
brasher,1
brasil,6
brass,6
brats,1
brave,11
bravery,1
braves,1
braving,3
bravo,4
bravos,1
brawl,1
brawn,1
brazil,80
brazilian,6
brazilians,1
brea,2
breach,1
bread,34
breads,0
break,124
breakaway,1
breakdown,3
breaker,7
breakers,1
breakfast,52
breakfasts,0
breaking,27
breakout,1
breaks,4
breakthrough,2
breakup,1
breast,2
breasts,1
breath,29
breathable,2
breathe,18
breathed,1
breather,1
breathes,1
breathing,74
breaths,1
breathtaking,3
breckenridge,1
bred,1
breed,2
breeder,1
breeders,1
breeding,1
breeds,1
breeze,4
breezy,1
bremen,6
brent,3
brentwood,19
brethren,1
brevity,0
brew,4
brewed,2
brewer,1
brewery,8
brewing,3
brews,1
brian,3
brick,3
bricks,1
brickwork,2
bridal,3
bride,5
brides,3
bridesmaid,1
bridesmaids,1
bridge,25
bridgeport,1
brie,2
brief,4
briefing,9
brien,2
brigade,2
briggs,1
bright,34
brighten,15
brightened,1
brightens,1
brighter,6
brighton,9
briley,0
brilliant,6
brim,2
brimming,0
bring,85
bringing,34
brings,31
brinks,1
brisbane,11
brisk,1
bristol,20
britain,7
britannia,1
british,30
britney,1
britons,1
brits,2
brittain,1
britten,1
bro,30
broad,3
broadcast,14
broadcasting,1
broadhurst,1
broadway,9
broccoli,2
brochure,0
brock,1
brogues,1
broke,15
broken,11
brokenhearted,1
broker,2
bromley,6
bronte,1
bronx,19
bronze,1
bronzed,0
brood,1
brook,0
brooke,3
brookfield,2
brooklyn,95
brooms,0
bros,4
broth,2
brotha,2
brother,45
brotherhood,4
brothers,26
brought,46
brown,16
brownie,1
brownies,1
browns,2
browse,1
browsing,1
bruce,8
bruges,2
brugge,2
bruise,1
bruises,2
brum,0
brunch,7
brush,4
brushed,0
brushes,1
brushing,1
brussel,3
brussels,5
brutal,2
brutality,1
brutally,1
bryan,1
bryans,1
bryant,2
bryce,0
bs,6
bsa,1
bsb,1
bt,3
bts,7
btw,11
bubba,1
bubble,9
bubbles,4
bubbling,1
bubonic,3
buchanan,1
bucharest,2
buck,1
bucket,5
buckets,1
buckingham,2
buckinghamshire,37
buckle,1
bucks,4
buckshot,1
bucktown,1
bud,6
budapest,0
budd,1
buddha,0
buddies,5
budding,1
buddy,14
budge,1
budget,3
buds,4
budweiser,2
buena,1
buenos,2
buff,1
buffalo,7
buffer,0
bug,8
bugged,1
buggers,1
bugs,2
buh,0
build,19
builder,1
builders,2
building,52
buildings,17
built,10
bujo,1
bukowski,0
bulb,1
bulbs,2
bulgaria,4
bulgarian,0
bulge,2
bulk,2
bulky,1
bull,2
bulldog,1
bulldogs,2
bullet,2
bulletin,1
bullets,1
bullhorns,1
bullies,2
bullock,1
bullpen,1
bullring,1
bullsh,1
bullshit,9
bully,1
bullying,1
bummed,1
bummer,2
bump,3
bumper,3
bumping,0
bun,5
buna,0
bunch,10
bundle,8
bundy,9
bunghole,1
bungy,2
bunker,2
bunnies,4
bunny,24
buns,3
bunty,1
buongiorno,1
burbank,2
burden,1
burdened,2
burdens,1
burdick,1
bureau,4
bureaucratic,1
bureaucrats,1
burger,14
burgers,6
burgundy,3
burial,2
buried,2
burke,2
burn,11
burned,5
burner,1
burners,1
burning,4
burns,3
burnt,2
burping,1
burrito,1
burst,2
burton,1
bury,3
bus,21
buses,9
bush,5
bushman,1
busiest,3
business,195
businesses,37
businessmen,8
busker,1
bust,0
busted,2
buster,3
busters,3
busting,2
bustle,1
busy,60
busyness,1
butchers,1
bute,1
butler,4
butlers,1
butt,13
butter,13
buttercream,3
butterflies,4
butterfly,4
buttermilk,1
butternut,1
buttery,1
button,3
buttons,1
butts,1
buy,56
buyer,5
buyers,3
buying,19
buzz,5
buzzard,2
buzzing,1
bw,6
bwahahaha,0
bwp,1
bye,12
bypassing,2
byrd,1
byron,1
c,109
ca,82
cab,1
cabaret,4
cabbage,5
cabin,10
cabinet,3
cable,3
cables,1
cabo,1
caboolture,1
cabs,1
cacophony,0
cactus,2
caddy,1
cadet,0
cadillac,2
caesar,1
cafe,34
cafes,2
caffeinated,1
cage,5
caged,3
cairns,1
cairo,3
cake,39
cakes,8
cal,1
calamitous,1
calamity,2
calculate,1
calculus,1
calcutta,2
calder,1
caldwell,1
calendar,2
calgary,6
cali,6
california,635
call,236
callaway,1
called,53
callen,0
calles,1
calligraphy,2
callin,1
calling,21
calls,24
calm,54
calming,1
calmly,1
calmness,6
calms,1
calorie,2
calories,3
calves,1
calypso,0
calzone,1
cam,5
camaro,0
cambodia,5
cambridge,7
camden,2
came,84
camels,1
cameo,4
camera,26
cameraman,1
cameras,1
cameron,1
cameroon,1
camino,1
camo,6
camp,16
campaign,35
campaigning,1
campaigns,2
campbell,1
camper,1
campers,1
campground,1
camping,13
campos,1
camps,2
campus,5
campuses,1
canada,40
canadian,4
canadien,1
canal,7
canals,1
canary,2
canberra,0
cancel,17
canceled,14
canceling,4
cancellation,2
cancelled,37
cancelling,2
cancels,1
cancer,4
candice,1
candid,6
candidate,2
candies,0
candle,8
candlelight,5
candles,24
candy,3
cane,1
cannabis,4
canned,2
cannery,1
cannibal,1
canning,2
canon,38
canopy,0
cans,3
cant,21
canteen,2
canterbury,1
cantina,1
canton,1
cantor,1
canvas,10
canyon,12
cap,6
capabilities,1
capable,3
capacities,1
capacity,11
capaldi,0
cape,64
caper,3
capers,1
capes,3
capital,19
capitalism,4
capitalize,1
capitalizing,0
capitan,1
capitol,7
