,0
anticipation,1
antidote,4
antique,5
antiques,0
antiquities,1
antisocial,1
antivirus,0
antoni,0
antonio,6
antwerp,2
anu,0
anxieties,0
anxiety,9
anxious,1
anxiously,0
anyhow,0
anymore,5
anytime,3
anyway,4
anyways,2
anywhere,7
ao,3
ap,1
aparna,0
apart,7
apartment,8
apartments,4
apc,0
ape,1
apes,0
apex,2
aphorisms,1
apiece,0
apna,1
apne,1
apocalypse,10
apocalyptic,4
apollo,1
apologies,2
apologise,0
apologize,2
apologized,0
apology,0
app,4
appalling,1
apparel,2
apparently,8
appart,1
appeal,7
appealed,0
appealing,0
appeals,1
appear,1
appearance,3
appeared,0
appears,4
appetizer,1
applaud,1
applauding,0
applause,1
applauses,0
apple,18
appliances,0
applicable,0
application,3
applications,0
applied,0
applies,1
apply,6
applying,0
appointed,1
appointment,4
appointments,6
appraisal,1
appraisals,0
appreciate,11
appreciated,0
appreciating,3
appreciation,0
appreciative,0
apprehensive,0
approach,1
approached,1
approaching,0
appropriate,3
approval,1
approve,0
approved,9
approves,1
approx,0
approximately,0
apps,0
apr,0
april,80
apropos,0
apt,2
aptly,1
aq,1
aquarium,0
aquarius,0
aquatic,1
ar,1
arab,6
arabia,7
arabian,0
arabic,40
arachnid,1
aragorn,1
arbor,4
arbus,1
arc,0
arcade,0
arch,0
archbishop,0
archer,1
archery,1
archie,0
architect,2
architects,0
architectural,0
architecture,18
archival,0
archive,0
archived,0
archives,0
area,22
areas,4
arena,6
argentina,2
argentine,1
argue,1
arguing,2
argument,1
argyll,0
aria,0
ariel,3
arisen,0
arises,0
arising,0
aristotle,1
arizona,17
arjun,0
arkansas,4
arlington,4
arm,1
armada,0
armageddon,0
armani,0
armed,1
armor,1
armoured,1
armoury,0
armpits,1
arms,3
armstrong,0
army,5
arora,1
arrange,0
arranged,1
arrangements,1
arranging,0
arrest,7
arresting,1
arriba,0
arrival,3
arrivals,1
arrive,3
arrived,2
arrives,1
arriving,0
arrogance,0
arrows,0
arse,0
arsed,1
arsenal,2
arsenic,1
arsonists,1
art,78
arte,6
artform,1
artichoke,0
article,17
articles,0
artiest,0
artifacts,0
artificially,1
artisan,0
artisans,1
artist,31
artiste,6
artistes,0
artistic,7
artistry,1
artists,4
arts,8
artsy,4
artwork,9
artworks,2
arty,0
aruba,0
arundel,0
arundhati,0
arvo,0
asain,0
asante,0
asap,2
ascend,0
ascent,0
ascribe,1
asda,1
ash,1
ashamed,2
asheville,0
ashford,1
ashlee,1
ashley,0
ashoka,0
ashwin,0
asia,7
asian,2
asians,1
aside,3
asif,1
ask,9
asked,8
asking,8
asks,0
asl,0
asleep,2
aso,0
aspect,2
aspects,2
aspen,0
aspire,0
aspiring,1
ass,14
assassin,1
assault,1
assembled,0
assembles,1
assembly,0
asses,0
assess,0
assessment,3
asset,0
assets,1
asshole,1
assholes,1
assigned,0
assignment,0
assignments,0
assist,3
assistance,6
assistant,2
assistants,0
assisted,1
assisting,0
associated,2
associates,2
association,4
associations,1
assorted,1
assume,0
assumed,1
assurances,0
assure,0
assured,2
asthma,2
aston,1
astoria,2
astounding,0
astrid,1
astro,0
astrological,0
astrology,0
astronauts,0
astronomy,0
astute,1
aswell,0
asylum,0
ata,1
ate,3
atelier,0
atheist,0
athens,0
athlete,0
athletes,1
athletic,2
athletics,0
ati,2
atlanta,20
atlantic,0
atlas,0
atleast,1
atm,1
atmosphere,0
atomic,0
atop,0
atrocities,1
att,0
attach,0
attached,1
attack,0
attacked,1
attacking,1
attacks,0
attempt,3
attempted,2
attempting,0
attempts,0
attend,3
attendance,2
attendant,0
attended,2
attendees,0
attending,2
attention,9
attentions,0
attica,0
attire,0
attitude,6
attorney,1
attracted,0
attractions,0
attracts,1
atypical,0
au,0
auberge,0
aubrey,0
auburn,1
auction,0
auctioned,0
audi,0
audience,2
audio,5
audiobooks,0
audition,0
auditions,1
auditorium,1
audubon,1
august,4
augusta,3
augustin,0
auh,0
aunt,4
auntie,1
aunties,0
aunty,1
aur,1
aura,0
aurora,0
aus,0
auspicious,1
aussie,1
aussies,2
austin,21
australia,28
australian,1
australians,0
austria,2
austrian,0
authentic,0
authentically,0
author,3
authored,0
authoritarian,0
authorities,4
authority,4
authors,0
auto,0
autobiography,1
automata,1
automatically,1
automation,0
automaton,0
automobiles,0
automotive,2
autonomous,1
autos,0
autumn,3
av,1
availability,1
available,47
avalon,1
avant,2
avantgarde,0
avatar,0
avatars,0
ave,3
avec,0
avenge,0
avengers,1
avenue,5
average,3
averages,0
avi,0
aviation,2
avid,1
aviv,0
avocado,5
avoid,22
avoidable,1
avoided,0
avoiding,1
avon,0
avril,2
avtaar,1
await,1
awaiting,1
awaits,0
awake,1
awaken,1
awakening,0
award,2
awards,2
aware,2
awareness,24
awe,0
awesome,9
awesomely,1
awesomeness,1
awful,2
awfully,1
awhile,2
awkward,2
aww,0
ax,0
axel,0
ay,0
aya,1
ayala,2
aye,1
ayer,0
ayurvedic,2
ayutthaya,1
az,1
azalea,0
azur,1
azz,0
b,22
ba,2
baaaack,0
baaad,1
baal,1
baat,0
baba,1
babe,3
babes,5
babies,3
babu,0
baby,24
babyface,0
babysit,1
babysitter,0
baca,1
bacardi,0
bach,0
bachelor,0
backbone,0
backdrop,1
background,5
backlash,1
backpack,0
backpackers,0
backpacking,0
backs,0
backstabbing,0
backstage,0
backstory,0
backstreet,0
backup,1
backwards,0
backyard,1
backyards,1
bacon,3
bacteria,1
bacterial,8
bad,32
badass,1
badasses,0
badboys,1
baddest,0
baddie,1
baden,0
badge,0
badguy,0
badguys,1
badlands,1
badly,4
badman,0
badminton,0
badshah,1
bae,11
bag,7
bagels,1
bagg,0
baggins,0
bagman,1
bags,5
baguette,0
baguettes,0
bah,1
bahahahaha,1
bahamas,0
bahrain,0
bai,0
bail,1
bailey,0
bailout,0
bait,0
baithe,0
baja,1
bake,5
baked,5
baker,2
bakers,0
bakersfield,0
bakery,0
bakes,1
baking,7
balance,3
balanced,0
balboa,0
balcony,5
bald,4
baldwin,0
bali,6
balkan,1
ball,3
baller,2
ballerina,0
ballet,1
ballgame,1
balloon,0
balloons,2
ballot,0
ballroom,0
balls,4
bally,0
balsamic,1
baltimore,2
bam,1
bamboo,0
ban,0
bana,1
banana,8
bananas,5
banaras,0
band,4
banda,0
bandanna,2
bandara,0
bandidos,0
bandit,1
bandito,1
bands,1
bandwagon,2
bandwidth,1
bane,0
banerjee,0
bang,1
banging,4
bangkok,5
bangla,0
bangladesh,2
bangladeshi,0
bangor,0
banish,1
bank,13
bankers,2
banking,4
bankruptcy,1
banks,1
banned,1
banner,1
banners,2
banning,1
banquet,1
banquets,0
bans,0
banter,1
baptist,3
barack,0
barba,4
barbados,6
barbara,2
barbecue,1
barber,8
barbers,0
barbershop,5
barbet,0
barbie,2
barbies,0
barbs,0
barc,0
barcelona,1
barclays,0
bare,1
barely,2
bargain,0
bargains,1
bark,0
barked,0
barking,2
barley,0
barn,0
barnard,0
barnes,1
barnet,2
barracks,1
barrage,1
barre,1
barrel,1
barreling,0
barren,1
barrett,0
barrier,0
barriers,2
barrio,2
barrister,0
barrow,0
barry,0
bars,7
bart,1
bartender,1
bartenders,0
barter,1
bartlett,0
barton,0
bas,2
basa,0
base,5
baseball,3
based,16
baseline,0
basement,1
bash,0
basia,0
basic,1
basically,3
basics,0
basil,2
basildon,0
basilica,0
basin,0
basis,2
basket,2
basketball,0
baskin,0
basking,0
bass,0
bassis,0
bassist,0
bastard,0
bastards,1
bat,7
bata,0
batch,0
batches,1
bates,0
batgirl,0
bath,6
bathe,0
bathed,0
bathing,0
bathroom,3
baths,0
bathtub,1
batman,0
baton,1
batons,1
bats,2
battered,1
batteries,1
battersea,1
battery,2
batting,1
battle,10
battles,1
battling,4
bavaria,0
bavarian,0
baxter,1
bay,7
bayern,0
bayless,0
bayonne,0
bayreuth,0
bazaar,0
bb,0
bbc,4
bbcamerica,1
bbq,7
bc,16
bcs,1
bd,0
beach,53
beaches,2
beaching,1
beacon,0
bead,1
beads,0
beagle,3
beam,1
beamed,0
bean,3
beanies,0
beans,12
bear,4
bearable,1
beard,15
bearded,2
beards,2
bearing,0
bears,1
beast,4
beasts,2
beat,29
beaten,0
beating,2
beatles,1
beats,10
beaumont,0
beautician,1
beauties,3
beautiful,64
beautifully,1
beautify,0
beauty,16
bebe,0
bec,1
became,4
becca,0
beck,0
become,234
becomes,2
becoming,5
becouse,0
becuz,3
bed,10
bedding,0
bedford,7
bedouin,1
bedridden,0
bedrock,0
bedroom,2
beds,3
bedsheet,1
bedtime,1
bee,1
beef,5
beegees,0
beekeepers,0
beer,32
beered,0
beers,4
bees,2
beethoven,0
beetroot,1
befallen,0
befitting,0
beforehand,0
beg,3
began,3
begged,0
begging,1
begin,6
beginner,1
beginners,1
beginning,7
beginnings,0
begins,3
begone,0
begun,0
behalf,1
behave,1
behaving,0
behavior,0
behaviour,1
behaviours,1
behinds,0
behold,1
beige,1
beijing,1
beings,1
beirut,2
belarus,30
belated,0
belfast,0
belgian,0
belgium,21
belgrade,0
belief,0
beliefs,0
believe,21
believed,1
believer,0
believers,0
believes,1
believing,0
belive,1
belived,0
bell,3
bella,0
belle,1
belleau,0
bellevue,0
bellied,0
bellies,0
bellingham,4
bello,1
bellow,1
bells,0
bellucci,0
belly,3
belmont,1
belong,1
belongs,0
beloved,4
belt,1
belter,1
belts,2
belvedere,0
ben,3
bench,1
benches,0
benchmark,0
bend,0
bene,1
benedict,0
benefactors,0
beneficial,0
benefit,5
benefiting,0
benefits,3
bengal,1
bengali,0
benidorm,1
benjamin,1
benji,0
bennett,0
benny,1
benson,0
bent,0
bentley,0
benton,0
benz,2
beo,0
ber,0
berg,0
bergen,2
berkeley,0
berkshire,0
berlin,7
berlinale,0
berliners,0
bernal,0
bernard,0
bernice,0
bernie,3
bernstein,1
berries,0
berry,1
berserk,0
bert,0
bespoke,0
bestest,1
besties,6
bests,0
bestseller,0
bet,6
beta,0
beth,1
betta,2
bettering,0
betty,0
beutiful,0
beverage,0
beverages,0
beverly,2
beware,2
bey,1
beyonce,0
bf,1
bfc,0
bff,1
bffs,2
bg,1
bgm,0
bhag,1
bhai,2
bharat,2
bharti,0
bhat,0
bhatia,0
bhatti,0
bhi,1
bhopal,1
bhutan,0
bi,1
bib,0
bible,1
biblical,0
biceps,0
bicycle,2
bicycles,1
bid,3
bidder,0
bidet,1
big,35
bigfoot,0
bigg,0
bigger,4
biggest,6
biggie,1
bihar,1
bike,12
biked,2
biker,2
bikes,3
biking,8
bikini,0
biko,1
bild,0
bilingual,1
bill,2
billboard,1
billboards,0
billing,0
billings,0
billion,6
billionaires,0
billions,0
bills,4
billy,0
bin,3
binary,0
bind,1
binder,0
binding,0
bing,0
binge,2
binghamton,0
binging,0
bingo,0
binks,0
bintang,0
bio,70
biochemical,0
biohazard,1
biological,1
biologist,0
biology,0
bioterrorism,1
bioweapons,1
bir,0
bird,3
birdie,0
birdman,1
birds,4
birmingham,5
birth,1
birthday,38
birthdays,1
birthplace,0
biryani,1
biscuits,0
bisexual,0
bishop,2
bison,0
bistro,0
bit,32
bitch,8
bitches,1
bitchin,0
bitchy,0
bites,1
biting,1
bitter,1
bittersweet,0
bittersweetness,0
biz,3
bizarre,0
bizzaro,1
bjm,1
black,27
blackberry,2
blackburn,0
blackened,0
blacklist,0
blackman,4
blackout,0
blackpool,0
blackrock,0
blacks,0
blackwell,0
blackwood,0
blade,0
blades,1
blah,0
blaine,1
blair,0
blake,2
blame,4
blamed,1
blames,3
blaming,3
blanc,1
blanket,0
blankets,1
blas,0
blase,1
blast,1
blasted,1
blasting,0
blatantly,1
blaze,1
blazer,3
bleach,4
bleakness,0
blend,2
blended,0
blender,2
blending,1
blends,1
bless,8
blessed,13
blessing,5
blessings,3
bleu,0
blew,1
blind,3
blinded,0
blindfold,2
blinds,0
bling,0
blinking,1
bliss,0
blissful,0
blister,0
blisters,1
blitz,0
block,9
blockbuster,1
blocked,1
blocking,0
blocks,0
bloddy,1
blog,12
blogging,0
blogs,1
blogtalkradio,0
bloke,0
blond,0
blonde,4
blood,16
blooded,0
bloodless,0
bloodshot,1
bloodwork,1
bloody,3
bloom,4
bloomed,1
blooming,5
bloomington,0
blooms,0
bloopers,0
bloor,0
blossom,12
blossoms,4
blow,1
blower,1
blowing,0
blowjob,1
blown,3
blows,1
blu,5
blubber,1
blue,15
blueberries,2
blueberry,2
bluegrass,0
blues,7
bluff,0
blunders,0
blunt,0
bluntly,1
blunts,0
blur,1
blurr,0
blushed,0
blvd,0
bmx,1
bn,0
bo,1
board,6
boarded,0
boardgames,0
boardroom,1
boards,0
boardwalk,0
boasted,0
boasting,0
boat,5
boating,1
boats,0
boaz,1
bob,2
bobby,1
bobo,0
bobs,0
boca,0
bode,1
bodega,1
bodies,1
bods,1
body,22
bodybuilder,0
bodybuilding,0
bodysnatchers,0
bog,1
boggling,1
bogota,0
boho,1
boi,6
boil,1
boiled,1
boiling,0
boils,0
boing,1
bois,0
boise,2
bold,0
boldness,0
bolivia,1
bollocks,0
bollywood,3
bologna,4
bolster,0
bolsters,1
bolton,0
bomb,2
bombarding,0
bombay,3
bomber,0
bombing,1
bon,0
bonanza,0
bond,0
bondi,0
bonding,0
bonds,1
bone,1
bones,1
bonfire,0
bong,0
bongs,1
boni,0
bonkers,0
bonnet,0
bonnets,0
bonus,4
boo,2
boobies,0
booboo,1
boobs,1
boogie,0
book,24
booked,3
booking,4
bookings,0
books,5
bookshelves,0
bookshop,1
bookworms,0
boom,1
boomerang,1
boomers,0
booming,0
boon,0
boondocks,3
boooooom,0
booring,1
boos,0
boost,9
booster,0
boosters,2
boosting,1
boosts,1
boot,2
bootcamp,0
booth,1
booths,2
bootleg,0
boots,1
booty,0
booze,1
boozing,0
bora,1
borchardt,0
bordeaux,0
border,2
borderline,1
borders,2
bore,0
bored,41
boredom,14
boring,5
boris,6
born,6
borne,0
borough,0
borrow,0
borrowed,1
bosch,1
bose,0
bosnia,2
bosphorus,0
boss,8
boston,12
bot,0
botanical,1
botanist,0
bother,0
bothered,0
botswana,2
bottle,5
bottled,1
bottles,222
bottom,0
bottoms,1
bought,10
boulder,1
boulevard,0
bounce,0
bouncing,0
bound,1
boundaries,0
bounds,0
bountiful,0
bounty,2
bouquet,0
bourbon,0
bourke,0
bournemouth,0
bout,7
boutique,1
bow,1
bowe,0
bowen,1
bowie,0
bowing,1
bowl,2
bowling,1
bowls,1
bowman,0
box,9
boxer,1
boxers,0
boxes,1
boxing,3
boy,18
boyfriend,3
boyle,0
boys,12
boyz,0
bpc,1
bpl,0
bq,0
br,0
bra,1
brabant,0
brac,0
brace,0
bracelet,0
braces,0
bracket,1
brad,1
bradbury,0
bradford,0
bradshaw,0
brady,2
braff,1
brag,0
braids,1
brain,4
brainer,1
brainless,1
brains,1
brainstorm,1
brake,1
braking,0
branch,1
branches,0
brand,12
branded,0
brandenburg,0
brandi,1
branding,3
brandon,0
brands,2
brandy,1
branson,0
bras,1
brasher,0
brasil,1
brass,2
brats,0
brave,4
bravery,0
braves,0
braving,0
bravo,1
bravos,0
brawl,0
brawn,0
brazil,38
brazilian,1
brazilians,0
brea,0
breach,0
bread,9
breads,0
break,33
breakaway,1
breakdown,1
breaker,3
breakers,1
breakfast,17
breakfasts,0
breaking,10
breakout,0
breaks,1
breakthrough,0
breakup,0
breast,1
breasts,0
breath,8
breathable,1
breathe,6
breathed,0
breather,0
breathes,1
breathing,6
breaths,0
breathtaking,0
breckenridge,0
bred,0
breed,1
breeder,0
breeders,1
breeding,1
breeds,0
breeze,3
breezy,0
bremen,0
brent,1
brentwood,2
brethren,1
brevity,2
brew,1
brewed,1
brewer,0
brewery,4
brewing,1
brews,0
brian,2
brick,2
bricks,0
brickwork,0
bridal,5
bride,0
brides,2
bridesmaid,0
bridesmaids,0
bridge,6
bridgeport,0
brie,0
brief,0
briefing,13
brien,0
brigade,1
briggs,1
bright,8
brighten,1
brightened,0
brightens,0
brighter,3
brighton,1
briley,1
brilliant,3
brim,1
brimming,1
bring,26
bringing,11
brings,7
brinks,0
brisbane,1
brisk,0
bristol,1
britain,3
britannia,0
british,7
britney,0
britons,0
brits,1
brittain,1
britten,0
bro,9
broad,1
broadcast,5
broadcasting,0
broadhurst,0
broadway,2
broccoli,1
brochure,1
brock,1
brogues,0
broke,2
broken,3
brokenhearted,0
broker,2
bromley,1
bronte,0
bronx,4
bronze,1
bronzed,0
brood,0
brook,1
brooke,1
brookfield,0
brooklyn,18
brooms,0
bros,2
broth,2
brotha,2
brother,16
brotherhood,0
brothers,5
brought,7
brown,6
brownie,1
brownies,1
browns,0
browse,0
browsing,0
bruce,3
bruges,2
brugge,2
bruise,0
bruises,0
brum,1
brunch,0
brush,3
brushed,0
brushes,0
brushing,1
brussel,0
brussels,3
brutal,0
brutality,0
brutally,0
bryan,0
bryans,0
bryant,1
bryce,1
bs,3
bsa,0
bsb,1
bt,2
bts,1
btw,3
bubba,0
bubble,4
bubbles,1
bubbling,1
bubonic,0
buchanan,0
bucharest,0
buck,0
bucket,1
buckets,0
buckingham,2
buckinghamshire,2
buckle,0
bucks,0
buckshot,1
bucktown,1
bud,3
budapest,1
budd,0
buddha,0
buddies,0
budding,0
buddy,4
budge,1
budget,2
buds,0
budweiser,1
buena,0
buenos,1
buff,0
buffalo,1
buffer,0
bug,3
bugged,0
buggers,0
bugs,1
buh,1
build,1
builder,0
builders,1
building,14
buildings,11
built,2
bujo,1
bukowski,1
bulb,1
bulbs,2
bulgaria,1
bulgarian,0
bulge,0
bulk,6
bulky,1
bull,2
bulldog,1
bulldogs,2
bullet,0
bulletin,0
bullets,0
bullhorns,1
bullies,2
bullock,0
bullpen,0
bullring,1
bullsh,1
bullshit,6
bully,0
bullying,0
bummed,0
bummer,1
bump,1
bumper,2
bumping,1
bun,1
buna,0
bunch,5
bundle,1
bundy,1
bunghole,1
bungy,0
bunker,1
bunnies,0
bunny,4
buns,1
bunty,0
buongiorno,1
burbank,0
burden,0
burdened,0
burdens,0
burdick,0
bureau,2
bureaucratic,1
bureaucrats,0
burger,2
burgers,0
burgundy,1
burial,3
buried,1
burke,1
burn,8
burned,3
burner,0
burners,0
burning,1
burns,0
burnt,0
burping,1
burrito,1
burst,0
burton,1
bury,1
bus,8
buses,6
bush,1
bushman,0
busiest,0
business,54
businesses,7
businessmen,0
busker,0
bust,2
busted,0
buster,1
busters,0
busting,1
bustle,0
busy,15
busyness,0
butchers,0
bute,0
butler,1
butlers,1
butt,2
butter,7
buttercream,3
butterflies,2
butterfly,1
buttermilk,0
butternut,0
buttery,0
button,0
buttons,0
butts,0
buy,14
buyer,3
buyers,2
buying,9
buzz,0
buzzard,0
buzzing,1
bw,6
bwahahaha,1
bwp,1
bye,5
bypassing,1
byrd,0
byron,1
c,32
ca,3
cab,0
cabaret,1
cabbage,3
cabin,4
cabinet,0
cable,1
cables,0
cabo,1
caboolture,0
cabs,1
cacophony,1
cactus,0
caddy,1
cadet,1
cadillac,0
caesar,0
cafe,3
cafes,2
caffeinated,1
cage,1
caged,0
cairns,0
cairo,0
cake,12
cakes,4
cal,1
calamitous,0
calamity,1
calculate,0
calculus,1
calcutta,0
calder,0
caldwell,0
calendar,0
calgary,7
cali,4
california,155
call,88
callaway,0
called,17
callen,1
calles,1
calligraphy,0
callin,0
calling,8
calls,9
calm,8
calming,0
calmly,1
calmness,0
calms,0
calorie,0
calories,3
calves,0
calypso,1
calzone,0
cam,2
camaro,0
cambodia,0
cambridge,3
camden,1
came,19
camels,1
cameo,0
camera,7
cameraman,0
cameras,1
cameron,0
cameroon,0
camino,0
camo,0
camp,5
campaign,17
campaigning,0
campaigns,0
campbell,1
camper,0
campers,0
campground,0
camping,1
campos,1
camps,3
campus,2
campuses,0
canada,13
canadian,1
canadien,1
canal,6
canals,4
canary,0
canberra,2
cancel,6
canceled,7
canceling,1
cancellation,0
cancelled,11
cancelling,0
cancels,0
cancer,3
candice,1
candid,1
candidate,0
candies,1
candle,1
candlelight,0
candles,4
candy,1
cane,0
cannabis,5
canned,1
cannery,0
cannibal,1
canning,0
canon,8
canopy,0
cans,2
cant,10
canteen,0
canterbury,0
cantina,1
canton,0
cantor,0
canvas,10
canyon,3
cap,4
capabilities,0
capable,2
capacities,0
capacity,4
capaldi,1
cape,12
caper,0
capers,0
capes,3
capital,14
capitalism,1
capitalize,0
capitalizing,0
capitan,1
capitol,9
